S/N,NAME,REG. NO./Code,ENG 211,ENG 212,ENG 213,ENG 214,ENG 215,MTH 211,MTH 214,GSS 212,GSS 217,CARRY OVER COURSES,CURRENT TCL,CURRENT GP,CURRENT GPA,CURRENT SRT,PREVIOUS TCL,PREVIOUS GP,PREVIOUS GPA,CUMULATIVE TCL,CUMULATIVE GP,CUMULATIVE GPA,REMARKS
1,,CME/20/109001,C,B,C,C,A,B,D,B,B,,22,79,3.59,P,43,158,3.67,65,237,3.65,PASS
2,,CME/20/109033,E,C,C,C,B,C,C,C,D,CHM114 (1)A,23,66,2.87,P,43,122,2.84,66,188,2.85,"CHM124,GSS121"
3,,CME/20/109034,C,B,C,C,B,D,C,D,E,,22,62,2.82,P,43,167,3.88,65,229,3.52,PASS
4,,CME/20/109039,B,B,E,F,E,B,D,C,D,,22,52,2.36,CO,43,113,2.63,65,165,2.54,"ENG214,GSS115,MTH112"
5,,CME/20/109046,E,B,B,E,C,C,C,D,C,,22,59,2.68,P,43,152,3.53,65,211,3.25,PASS
6,,CME/20/109061,E,B,D,C,B,C,E,C,C,,22,58,2.64,P,43,123,2.86,65,181,2.78,GSS124
7,,CME/20/109074,C,A,C,E,B,C,C,C,F,,22,63,2.86,CO,43,146,3.40,65,209,3.22,"GSS217,GSS121"
8,,CME/20/109087,B,B,B,B,B,E,D,B,B,,22,75,3.41,P,43,191,4.44,65,266,4.09,PASS
9,,CME/20/109097,A,C,B,C,A,B,D,C,B,,22,84,3.82,P,43,148,3.44,65,232,3.57,PASS
10,,CME/20/109098,B,C,B,B,B,C,D,B,C,,22,77,3.50,P,43,165,3.84,65,242,3.72,PASS
11,,CME/20/109127,E,C,D,E,C,C,D,D,C,,22,49,2.23,P,43,143,3.33,65,192,2.95,PASS
12,,CME/20/109139,C,A,B,C,B,C,B,C,A,,22,82,3.73,P,43,163,3.79,65,245,3.77,PASS
13,,CME/20/109141,C,C,C,C,E,E,D,C,F,,22,46,2.09,CO,43,143,3.33,65,189,2.91,GSS217
14,,CME/20/109147,A,B,B,C,A,A,C,D,C,,22,87,3.95,P,43,174,4.05,65,261,4.02,PASS
15,,CME/20/109164,C,B,C,C,E,C,C,C,D,,22,60,2.73,P,43,177,4.12,65,237,3.65,PASS
16,,CME/20/109175,B,B,C,A,C,B,B,D,C,,22,78,3.55,P,43,154,3.58,65,232,3.57,PASS
17,,CME/20/109182,C,B,C,C,C,C,C,A,B,,22,74,3.36,P,43,166,3.86,65,240,3.69,PASS
18,,CME/20/109186,A,A,A,B,A,B,A,B,B,,22,101,4.59,P,43,172,4.00,65,273,4.20,PASS
19,,CME/20/109207,C,B,D,C,B,C,E,B,D,,22,64,2.91,P,43,151,3.51,65,215,3.31,PASS
20,,CME/20/109209,A,B,A,C,A,A,B,B,A,,22,100,4.55,P,43,198,4.60,65,298,4.58,PASS
21,,CME/20/109220,B,B,C,C,A,E,B,A,A,,22,81,3.68,P,43,171,3.98,65,252,3.88,PASS
22,,CME/20/109222,F,B,C,C,B,D,D,E,D,,22,51,2.32,CO,43,163,3.79,65,214,3.29,ENG211
23,,CME/20/109255,B,B,B,C,A,D,D,B,B,,22,79,3.59,P,43,176,4.09,65,255,3.92,PASS
24,,CME/20/109258,A,B,B,B,B,B,C,A,C,MTH112 (3)F,25,89,3.56,CO,43,116,2.70,68,205,3.01,"PHY122,CHM124,MTH112"
25,,CME/20/109259,C,B,C,B,C,C,B,D,D,"CHM114 (1)D,GSS115 (1)B",24,78,3.25,P,43,136,3.16,67,214,3.19,PHY122
26,,CME/20/109263,A,B,B,B,B,C,A,C,B,,22,88,4.00,P,41,182,4.44,63,270,4.29,PASS
27,,CME/20/109278,D,C,E,F,D,D,A,E,C,,22,45,2.05,CO,43,132,3.07,65,177,2.72,"ENG214,PHY122"
28,,CME/20/109279,C,B,B,D,A,B,D,C,B,,22,78,3.55,P,43,170,3.95,65,248,3.82,PASS
29,,CME/20/109327,E,C,C,B,B,E,D,D,B,,22,57,2.59,P,43,135,3.14,65,192,2.95,MTH122
30,,CME/20/109340,C,B,B,B,A,C,B,B,C,,22,83,3.77,P,43,145,3.37,65,228,3.51,PASS
31,,CME/20/109355,C,B,C,C,C,C,C,C,C,PHY112 (2)D,24,75,3.13,P,43,121,2.81,67,196,2.93,GSS121
32,,CME/20/109360,A,B,A,B,A,E,D,C,C,"GSS111 (1)E,PHY117 (1)A",24,86,3.58,P,43,144,3.35,67,230,3.43,CHM124
33,,CME/20/109362,C,B,B,B,A,A,B,B,A,,22,93,4.23,P,43,189,4.40,65,282,4.34,PASS
34,,CME/20/109394,B,C,C,E,B,C,F,D,E,,22,56,2.55,CO,43,149,3.47,65,205,3.15,MTH214
35,,CME/20/109412,A,B,A,B,B,B,B,B,C,,22,92,4.18,P,43,178,4.14,65,270,4.15,PASS
36,,CME/20/109413,A,C,B,C,A,C,C,C,E,"CHM114 (1)C,GSS115 (1)E",24,81,3.38,P,43,118,2.74,67,199,2.97,GSS121
37,,CME/20/109458,B,F,A,F,B,C,C,C,E,,22,62,2.82,CO,43,135,3.14,65,197,3.03,"ENG212,ENG214,GSS126,CHM114,ENG111,PHY117"
38,,CME/20/109486,D,B,A,E,B,C,E,RA,C,,20,60,3.00,P,43,122,2.84,63,182,2.89,"GSS212,MTH122,CHM124,MTH112"
39,,CME/20/109504,A,A,B,B,A,A,A,A,B,,22,103,4.68,P,43,181,4.21,65,284,4.37,"ENG121,GSS124"
40,,CME/20/109527,B,B,C,RA,B,E,C,B,C,,20,64,3.20,P,43,100,2.33,63,164,2.60,"ENG214,PHY122,CHM124,CHM114,PHY117"
41,,CME/20/109533,B,A,B,A,A,E,B,B,A,,22,88,4.00,P,43,176,4.09,65,264,4.06,PASS
42,,CME/20/109547,D,B,E,D,C,B,D,D,B,,22,58,2.64,P,43,130,3.02,65,188,2.89,PASS
43,,CME/20/109549,B,B,B,E,A,C,D,C,C,,22,74,3.36,P,43,169,3.93,65,243,3.74,PASS
44,,CME/20/109559,B,B,A,B,A,C,C,B,A,,22,91,4.14,P,43,162,3.77,65,253,3.89,PASS
45,,CME/20/109564,C,E,C,B,B,D,D,E,E,,22,54,2.45,P,43,139,3.23,65,193,2.97,PASS
46,,CME/20/109571,C,B,E,D,B,C,E,E,F,,22,49,2.23,CO,43,138,3.21,65,187,2.88,"GSS217,CHM124"
47,,CME/20/109590,B,A,C,A,B,C,C,B,C,,22,82,3.73,P,43,150,3.49,65,232,3.57,PASS
48,,CME/20/109596,D,B,E,B,A,D,E,B,C,,22,62,2.82,P,43,132,3.07,65,194,2.98,PASS
49,,CME/20/109615,C,B,B,D,A,D,C,C,E,,22,68,3.09,P,43,138,3.21,65,206,3.17,PASS
50,,CME/20/109633,E,B,C,B,C,C,B,C,E,,22,62,2.82,P,43,128,2.98,65,190,2.92,PASS
51,,CME/20/109638,A,B,C,C,C,C,D,E,B,,22,70,3.18,P,43,166,3.86,65,236,3.63,PASS
52,,CME/20/109673,D,E,E,E,E,E,D,C,F,,22,29,1.32,CO,43,123,2.86,65,152,2.34,"GSS217,MTH122,CHM124,GSS124,CHM114,MTH112"
53,,CME/20/109689,A,B,B,A,B,C,B,A,C,,22,90,4.09,P,43,189,4.40,65,279,4.29,PASS
54,,CME/20/109709,C,C,D,C,C,E,C,B,B,,22,61,2.77,P,43,128,2.98,65,189,2.91,"ENG121,GSS124,PHY112"
55,,CME/20/109713,F,B,E,RA,B,D,C,B,D,,20,47,2.35,CO,43,143,3.33,63,190,3.02,"ENG211,ENG214,MTH122"
56,,CME/20/109720,E,B,C,B,A,B,E,E,C,CHM113 (3)F,25,65,2.60,CO,43,101,2.35,68,166,2.44,"CHM124,GSS125,CHM113"
57,,CME/20/109732,E,B,D,C,A,E,E,F,F,,22,43,1.95,CO,43,116,2.70,65,159,2.45,"GSS212,GSS217,PHY122,CHM124,GSS121"
58,,CME/20/109733,F,B,B,C,B,C,C,B,F,,22,61,2.77,CO,43,129,3.00,65,190,2.92,"ENG211,GSS217"
59,,CME/20/109742,B,B,D,C,B,C,B,C,B,CHM114 (1)A,23,80,3.48,P,43,161,3.74,66,241,3.65,PASS
